Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Elm
Altitude [m asl]:         958 m
Coordinates:              46° 55.4' N / 9° 10.5' E

Reference date of homogenization:
         Temperature:     01.12.2020
         Precipitation:   01.12.2022

Last inhomogeneity provisionally corrected:
         Temperature:     no
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            20.08.2024


Year  Month        Temperature      Precipitation  
1878      2               -1.5               18.4  
1878      3               -1.3              115.6  
1878      4                5.0               95.0  
1878      5               10.5               96.9  
1878      6               12.3              148.2  
1878      7               13.0              193.1  
1878      8               13.4              177.9  
1878      9                9.5              100.1  
1878     10                7.1              129.3  
1878     11               -0.4              144.1  
1878     12               -4.9               74.7  
1879      1               -3.4               55.4  
1879      2               -1.4              101.0  
1879      3                1.3               40.0  
1879      4                3.2              132.6  
1879      5                5.5              165.9  
1879      6               12.7              147.6  
1879      7               11.0              216.3  
1879      8               14.8              159.8  
1879      9               10.5              123.0  
1879     10                3.7               94.2  
1879     11               -2.5              202.8  
1879     12               -8.0               27.6  
1880      1               -7.7               37.1  
1880      2               -0.6               48.9  
1880      3                3.0               74.6  
1880      4                5.7              119.3  
1880      5                7.8               82.8  
1880      6               10.8              235.1  
1880      7               14.9              137.5  
1880      8               11.9              169.0  
1880      9               10.2              135.7  
1880     10                6.3              212.7  
1880     11                1.1               76.9  
1880     12                0.4              158.5  
1881      1               -6.3               29.0  
1881      2               -1.0               70.1  
1881      3                1.8               92.3  
1881      4                4.4              100.3  
1881      5                8.4               50.9  
1881      6               11.5              133.9  
1881      7               16.3              114.2  
1881      8               13.5              213.3  
1881      9                8.6              233.9  
1881     10                1.9              113.8  
1881     11                2.3               23.5  
1881     12               -3.0               51.7  
1882      1               -2.9               17.3  
1882      2               -3.2               28.7  
1882      3                2.4               63.2  
1882      4                4.7               66.6  
1882      5                9.6              106.6  
1882      6               11.0              176.2  
1882      7               12.4              162.5  
1882      8               11.1              213.8  
1882      9                8.6              278.3  
1882     10                6.5              213.2  
1882     11                0.8              140.2  
1882     12               -0.9              232.5  
1883      1               -2.2               65.1  
1883      2               -0.8               25.9  
1883      3               -3.4              100.1  
1883      4                4.2               50.1  
1883      5                9.5              123.3  
1883      6               11.8              201.4  
1883      7               12.4              214.7  
1883      8               12.6              100.1  
1883      9                9.7              169.6  
1883     10                4.2              115.5  
1883     11                0.1               66.7  
1883     12               -4.6              166.0  
1884      1               -2.1              114.4  
1884      2               -1.0               39.2  
1884      3                1.5               25.0  
1884      4                4.5               49.5  
1884      5               10.7               75.1  
1884      6                9.0              180.3  
1884      7               14.4              218.4  
1884      8               13.7              154.4  
1884      9               10.6               88.4  
1884     10                3.8               73.0  
1884     11               -1.9               36.5  
1884     12               -2.5              111.2  
1885      1               -6.9                5.5  
1885      2                1.1               74.3  
1885      3                0.5               51.7  
1885      4                6.4               54.3  
1885      5                7.2              134.8  
1885      6               13.9               72.1  
1885      7               14.5              166.2  
1885      8               12.3              166.0  
1885      9                9.4              289.5  
1885     10                3.6              224.2  
1885     11                1.3              113.6  
1885     12               -4.0               72.5  
1886      1               -5.0               53.2  
1886      2               -6.4               51.5  
1886      3               -1.5               31.6  
1886      4                6.9               79.7  
1886      5                9.6              135.2  
1886      6               10.2              178.6  
1886      7               13.9              207.3  
1886      8               13.1              153.8  
1886      9               12.0               45.5  
1886     10                7.9               94.3  
1886     11                0.4              142.5  
1886     12               -2.2              174.8  
1887      1               -7.1               20.6  
1887      2               -4.9               11.5  
1887      3               -1.6              103.2  
1887      4                4.6               45.2  
1887      5                6.9              151.0  
1887      6               13.4               72.0  
1887      7               15.7              142.6  
1887      8               13.1              172.1  
1887      9                9.1               93.6  
1887     10                1.1               90.4  
1887     11                1.4               47.5  
1887     12               -4.9              156.1  
1888      1               -6.4               98.0  
